Press,Temp,v,h,s
1,100,1.6958,2676.2,7.3614
1,150,1.9364,2776.4,7.6134
1,200,2.172,2875.3,7.8343
1,250,2.406,2974.3,8.0333
1,300,2.639,3074.3,8.2158
1,400,3.103,3278.2,8.5435
1,500,3.565,3488.1,8.8342
10,200,0.2060,2827.9,6.6940
10,250,0.2327,2942.6,6.9247
10,300,0.2579,3051.2,7.1229
10,350,0.2825,3157.7,7.3011
10,400,0.3066,3263.9,7.4651
10,500,0.3541,3478.5,7.7622
10,600,0.4011,3697.9,8.0290
20,250,0.11144,2902.5,6.5453
20,300,0.12547,3023.5,6.7664
20,350,0.13857,3137.0,6.9563
20,400,0.15120,3247.6,7.1271
20,500,0.1757,3467.6,7.4317
20,600,0.1996,3690.1,7.7024
40,300,0.05884,2960.7,6.3615
40,350,0.06645,3092.5,6.5821
40,400,0.07341,3213.6,6.7690
40,450,0.0800,3330.3,6.9363
40,500,0.0864,3445.3,7.0901
40,600,0.0988,3674.4,7.3688
60,300,0.03616,2884.2,6.0674
60,350,0.04223,3043.0,6.3335
60,400,0.04739,3177.2,6.5408
60,450,0.05214,3301.8,6.7193
60,500,0.05665,3422.2,6.8803
60,600,0.06525,3658.4,7.1677
100,350,0.02242,2923.4,5.9443
100,400,0.02641,3096.5,6.2120
100,450,0.02975,3240.9,6.4190
100,500,0.03279,3373.7,6.5966
100,550,0.03564,3500.9,6.7561
100,600,0.03837,3625.3,6.9029
